"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","3252","NEFU","M",2.547774705,"A",0,0,NA,0,NA,NA,NA,1,17,1,1,17,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.89037175789616,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3252","NEFU","M",2.547774705,"A",0,0,NA,0,NA,NA,NA,1,17,1,1,17,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.89037175789616,13.9700002670288,"2018-04-01","tmean"
"CCSP","3253","PERO","F",1.290034611,"A",0,1,NA,1,0,0,0,0,0,0,1,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","3253","PERO","F",1.290034611,"A",0,1,NA,1,0,0,0,0,0,0,1,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3253","PERO","F",1.290034611,"A",0,1,NA,1,0,0,0,0,0,0,1,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","3254","PERO","F",1.267171728,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","3254","PERO","F",1.267171728,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3254","PERO","F",1.267171728,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","3255","PERO","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,84.8209991455078,"2018-04-01","ppt"
"CCSP","3255","PERO","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3255","PERO","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,13.9700002670288,"2018-04-01","tmean"
"CCSP","3256","NEFU","F",2.2509077,"A",0,NA,NA,NA,1,1,1,1,3,1,2,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0.693147180559945,1.38629436111989,84.8209991455078,"2018-04-01","ppt"
"CCSP","3256","NEFU","F",2.2509077,"A",0,NA,NA,NA,1,1,1,1,3,1,2,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0.693147180559945,1.38629436111989,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3256","NEFU","F",2.2509077,"A",0,NA,NA,NA,1,1,1,1,3,1,2,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0.693147180559945,1.38629436111989,13.9700002670288,"2018-04-01","tmean"
"CCSP","3259","PERO","F",1.267171728,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,84.8209991455078,"2018-04-01","ppt"
