"id","site","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","date","species","overall_infection"
"A874","TUP","PERO","F",1.217483944,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","PEMA","Negative"
"A875","TUP","NEFU","F",2.426511261,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0.693147180559945,"4/15/18","NEFU","Negative"
"A926","LFY","PERO","F",1.579783597,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.1665657,-1.41983012,0.7130846,0.49129622,1.909535,-0.67612483,NA,0,"4/23/18","PETR","Negative"
"A927","TUP","PERO","F",1.220108088,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0.693147180559945,"4/15/18","PEMA","Negative"
"A934","CCSP","PERO","F",1.298853076,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,"4/19/18","PEMA","Negative"
"A935","CCSP","PERO","F",1.371067862,"A",NA,0,NA,0,0,0,0,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0.693147180559945,"4/19/18","PEMA","Negative"
"A938","CCSP","NEFU","F",2.433449794,"A",0,0,NA,0,1,51,1,1,7,1,2,58,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,3.95124371858143,2.07944154167984,"4/19/18","NEFU","Negative"
"A940","TUP","NEFU","F",2.021189299,"J",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","NEFU","Negative"
"A942","CCSP","PERO","M",1.271841607,"J",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,"4/19/18","PEMA","Negative"
"A943","CCSP","PERO","F",1.31386722,"J",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,"4/19/18","PEMA","Negative"
"A945","CCSP","NEFU","M",2.416307587,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,"4/19/18","NEFU","Negative"
"A947","TUP","PERO","M",1.426511261,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","PEMA","Negative"
"A948","TUP","NEFU","F",1.982271233,"J",NA,0,NA,0,1,1,1,0,0,0,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,0.693147180559945,0,"4/15/18","NEFU","Negative"
"A949","TUP","PERO","F",1.424881637,"A",NA,0,NA,0,NA,NA,NA,1,2,1,1,2,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,1.09861228866811,"4/15/18","PEMA","Negative"
"A962","WH","PERO","M",1.51851394,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0.693147180559945,"4/3/18","PETR","Negative"
"A963","TUP","NEFU","F",NA,"A",NA,0,NA,0,1,1,1,0,0,0,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,0.693147180559945,0,"4/15/18","NEFU","Negative"
"A964","WH","PERO","M",1.568201724,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PETR","Negative"
"A965","WH","PERO","M",1.447158031,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PETR","Negative"
"A966","WH","PERO","M",1.176091259,"A",1,0,0,1,0,0,0,1,1,1,2,1,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,0,0.693147180559945,"4/3/18","PETR","BARF"
"A967","WH","PERO","M",1.176091259,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PECA","Negative"
"A970","WH","PERO","M",1.361727836,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PETR","Negative"
"A972","WH","PERO","F",1.431363764,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PETR","Negative"
"A973","WH","PERO","F",1.447158031,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PETR","Negative"
"A974","LFY","PERO","M",1.447158031,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.1665657,-1.41983012,0.7130846,0.49129622,1.909535,-0.67612483,NA,0,"4/23/18","PETR","Negative"
"A975","WH","PERO","M",1.643452676,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,1.3816875,1.45658948,0.7130846,0.53518198,0.8699194,-0.72127764,NA,0,"4/3/18","PECA","Negative"
"N/A","HOS","PERO","F",1.439332694,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0,"4/30/18","PETR","Negative"
"S720/2371","WDLP","NEFU","F",2.485721426,"A",NA,1,NA,1,1,6,1,1,1,1,3,7,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,1.94591014905531,0.693147180559945,"4/8/18","NEFU","BBSL"
"S797","JSCP","NEFU","F",2.509202522,"A",0,0,0,0,1,7,1,0,0,0,1,7,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,2.07944154167984,0,"4/9/18","NEFU","Negative"
"S802","JSCP","PERO","M",1.414973348,"A",0,0,0,0,NA,NA,NA,1,2,1,1,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,1.09861228866811,"4/9/18","PETR","Negative"
"S808","JSCP","PERO","F",1.397940009,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"S821","JSCP","NEFU","F",2.456366033,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","NEFU","Negative"
"S912","HOS","NEFU","F",2.413299764,"A",0,1,NA,1,1,9,1,0,0,0,2,9,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,2.30258509299405,0,"4/30/18","NEFU","BBSL"
"S951","JSCP","PERO","F",1.380211242,"A",0,0,0,0,1,1,1,0,0,0,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0.693147180559945,0,"4/9/18","PETR","Negative"
"S964","CCSP","NEFU","F",2.387389826,"A",0,0,NA,0,NA,NA,NA,1,3,1,1,3,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.38629436111989,"4/19/18","NEFU","Negative"
"S980","WDLP","PERO","F",1.397940009,"A",NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,NA,"4/8/18","PETR","Negative"
"S986","WDLP","NEFU","M",2.536558443,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0.693147180559945,"4/8/18","NEFU","Negative"
"S988","CCSP","NEFU","F",2.397940009,"A",0,0,NA,0,NA,NA,NA,1,4,1,1,4,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.6094379124341,"4/19/18","NEFU","Negative"
"S997","JSCP","PERO","M",1.40654018,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945,"4/9/18","PETR","Negative"
